Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Dias,0.8868761758906264,5.351632684582202,5.9,1.0,1.0,1.5994607079511696
Targett,0.9609519829848319,4.611321313264182,4.7,3.0,2.0,-1.0038513524015045
Cresswell,0.8764501438411005,4.931466953422881,5.5,2.0,3.0,-2.573517221898092
Stones,0.7681204911701172,4.09916365298343,5.2,4.0,4.0,1.8637088677431743
Cancelo,0.7283159150761548,4.490976758417105,6.0,5.0,5.0,-1.6626007675645385
Dallas,0.8848623146127268,4.344204124509229,4.8,8.0,6.0,-1.0520722745434734
Bednarek,0.8810232522292878,4.4158969714243215,4.9,6.0,7.0,2.3549671618548182
Mings,0.7624370608714869,4.226133269870188,5.4,15.0,8.0,-0.6793100529533912
Cash,0.7410511316578935,3.8061567149229476,5.0,22.0,9.0,-1.8868466146920275
Konsa,0.7738416367460699,3.6525005011347234,4.6,17.0,10.0,1.3816087567733863
Justin,0.7332201493548733,3.767001803407848,5.0,9.0,11.0,1.1391626863675464
Robertson,0.6112784518257368,4.672794107328004,7.4,10.0,12.0,1.057301315702464
Thiago Silva,0.6412856731613636,3.7042089531331337,5.6,21.0,13.0,2.3566278431168652
Maguire,0.6505073733268348,3.6217129571290667,5.4,16.0,14.0,0.10972072244766048
Coufal,0.7496443136002736,3.6181752671567575,4.7,7.0,15.0,1.3412437951515153
Holding,0.7006632056839391,3.2437953765478587,4.5,19.0,16.0,-1.3462406220258891
Keane,0.6749668824307622,3.545250178163038,5.1,11.0,17.0,-1.3603050894207616
Chilwell,0.6398604313706178,4.026247920453614,6.1,12.0,18.0,1.3061376057478224
Wan-Bissaka,0.6311324078059537,3.517088143316309,5.4,24.0,19.0,0.27981610799169937
Ogbonna,0.6991501404215916,3.5966517587414386,5.0,14.0,20.0,-0.9274405771634382
Bellerin,0.6330525995215158,3.3314873353258805,5.1,32.0,21.0,-0.4462975707394437
Walker-Peters,0.7391456322103344,3.644764048977746,4.8,13.0,22.0,1.1575160225114065
Mee,0.6245495641008334,3.159175899594895,4.9,20.0,23.0,0.8026612623474468
Alexander-Arnold,0.4400257820099783,3.3595037513577224,7.3,25.0,24.0,-1.2827952688254394
Zouma,0.6613065436482755,3.8163258278598398,5.6,23.0,25.0,-0.7331648200159863
White,0.583675115014981,2.65696343590338,4.4,38.0,26.0,-0.09566137250996287
Walker,0.5642873168266069,3.5652519217351486,6.1,,27.0,-1.3244105678965514
Dunk,0.5549515376196601,2.7606323949425104,4.8,28.0,28.0,-1.1624826133427526
