Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Bednarek,0.9985647159217973,5.014037129442931,4.9,1.0,1.0,2.940631241067572
Cresswell,0.8723594661011815,4.754458458817579,5.3,2.5,2.0,-2.953426776311706
Dallas,0.913262887239777,4.502261063413254,4.8,2.5,3.0,-0.9476432624530481
Zouma,0.8180729013300236,4.972408306911248,5.9,4.0,4.0,-1.0236432260591284
Walker-Peters,0.8536671995839973,4.216201762665512,4.8,5.0,5.0,1.6212914170898696
Mings,0.7868951765830235,4.382658058793443,5.4,6.0,6.0,-1.586399436533578
Robertson,0.6535577350840905,5.019167680143356,7.4,9.0,7.0,0.8218348920058666
Dias,0.7497705026855485,4.491976287876492,5.8,12.0,8.0,0.5482039820485162
Targett,0.817854797269163,3.8757896385728783,4.6,7.0,9.0,-1.896007132770876
Chilwell,0.6738105219816346,4.260964006679676,6.1,12.0,10.0,1.736824638185371
Ogbonna,0.7470941592456586,3.859011634418215,5.0,10.0,11.0,-1.0175838263160133
Keane,0.7283913500761948,3.840807540342314,5.1,21.5,12.0,-0.9248486423855219
Konsa,0.7552582375712916,3.6658421044835987,4.7,12.0,13.0,0.571892762066703
Coufal,0.7497399534217922,3.6399061689809504,4.7,14.5,14.0,1.2242832199354736
Cancelo,0.6710252079834599,4.035253578604377,5.8,18.0,15.0,0.1549139000849126
Justin,0.7210716980990788,3.728899328685316,5.0,14.5,16.0,0.6185286512448807
Vestergaard,0.7339474343468384,3.6415468895271497,4.8,16.0,17.0,-1.1052044488813304
Godfrey,0.7021699941198395,3.634390808789119,5.0,8.0,18.0,-0.44025913077326984
Cash,0.6772333124195771,3.5097074002878075,5.0,17.0,19.0,-3.1266779210588203
Saiss,0.6504614508988996,3.4433650545381087,5.1,20.0,20.0,-0.3098807683028137
Adarabioyo,0.6908982428287168,3.2202288471001568,4.5,,21.0,1.4169417656728267
Bellerin,0.6451218690232275,3.4161331869721803,5.1,28.0,22.0,-1.0030304938623231
Walker ,0.5684473838387837,3.618248864008285,6.1,19.0,23.0,-2.2645498266436253
Taylor,0.6623119414589658,3.091590490936276,4.5,,24.0,-1.5390571782674711
Tierney,0.6035056449029944,3.392354587721286,5.4,21.5,25.0,-3.7821082289943013
Mina,0.5898538099010945,3.441547074218841,5.6,23.0,26.0,0.7597215059491759
Aina,0.6545266284811208,3.0565565825359737,4.5,,27.0,3.7940178178378887
Alioski,0.6536674893305158,3.052690456358251,4.5,24.0,28.0,0.4089166176405578
Bertrand,0.6130132710705275,3.188607193542559,5.0,25.0,29.0,0.6876735871399187
Wan-Bissaka,0.5944871171432305,3.2817350093404394,5.3,29.0,30.0,1.1577378207774787
Maguire,0.5830384748305142,3.281831869329893,5.4,31.0,31.0,-0.0013930952348052555
James,0.590507112487216,3.1991194566510424,5.2,27.0,32.0,-3.0718780042237066
Holding,0.6255803199814208,2.9262981942873236,4.5,32.5,33.0,-2.5538773637753005
Dier,0.5860922730787655,3.1150822476554247,5.1,26.0,34.0,-0.1789661207089412
Reguilon,0.5528139194528273,3.2918758964176273,5.7,37.0,35.0,0.7756708974008318
Mee,0.5950921834126199,3.037021720147961,4.9,,36.0,0.4026078951474996
Thiago Silva,0.5357677352871347,3.1386650563806664,5.6,30.0,37.0,2.065284397354522
Stones,0.5618357192437652,2.9327194344087486,5.0,38.0,38.0,0.6718832656894985
Fofana,0.5552985093790127,2.9000333850849853,5.0,32.5,39.0,-0.1666787130350735
Ayling,0.5577337253062723,2.620988518249155,4.5,34.0,40.0,-0.629446243925413
Tarkowski,0.4953402287192886,2.7562565006935467,5.3,,41.0,-0.5308968810148055
Lowton,0.5369165425424346,2.471148724793844,4.4,,42.0,-0.7738152937384329
Alderweireld,0.48038089265457484,2.72748092557982,5.4,35.5,43.0,0.7939290795060508
Lindelof,0.5035658234258872,2.535715157106584,4.8,35.5,44.0,1.5008482226178068
Gabriel,0.48004392653437156,2.52376047086178,5.0,39.0,45.0,-1.8323465721902046
Masuaku,0.47632171615805086,2.204531488702556,4.4,42.0,46.0,0.9665814331284346
Matip,0.42722962854272883,2.440464099375852,5.4,40.5,47.0,2.1120358285001095
Balbuena,0.47208348093136726,2.1858832537051476,4.4,43.0,48.0,-0.4239173362652488
Alexander-Arnold,0.35673791981141373,2.7845564383806067,7.3,48.5,49.0,-0.7315284520287397
Shaw,0.4484839166274222,2.2713220044739515,4.8,60.0,50.0,-0.44875544157139236
Coady,0.44347257669527584,2.2940856472329756,4.9,40.5,51.0,0.05941977197940978
Andersen,0.4533718909855967,2.151360263806115,4.5,,52.0,2.7724587838564476
Castagne,0.39897934942726615,2.4150188472719285,5.7,45.5,53.0,-1.4414642825552395
Evans,0.40326851962097054,2.3538717799242526,5.5,45.5,54.0,-0.8010864286494433
Furlong,0.437313122518976,2.0790958057063222,4.5,47.0,55.0,0.6328855752905914
Kilman,0.45013667670897883,1.9468638618225496,4.1,44.0,56.0,0.37432279433969884
Aurier,0.40028086535795643,2.2099429715788927,5.2,48.5,57.0,-0.7715062277258267
Digne,0.36994773362226957,2.367935407561524,6.0,58.0,58.0,-1.6984585965588346
Ait Nouri,0.40212556024530927,2.134168639416468,5.0,65.5,59.0,2.8805482190946217
Dunk,0.4049713735547475,2.0624617977251134,4.8,57.0,60.0,-1.6013628888480786
White,0.42218201273779316,1.9663167936534216,4.4,55.0,61.0,-0.782355961513384
Koch,0.42141746792496126,1.9629527964769613,4.4,54.0,62.0,-1.1491257248993334
Boly,0.3757324443853396,2.1623793049259494,5.4,50.5,63.0,0.43683841429124115
Webster,0.41570178092156734,1.9378037736620284,4.4,50.5,64.0,-0.5123417557171983
Fernandez,0.40131117210719364,2.0022908968023367,4.7,53.0,65.0,-0.33319260896764663
Semedo,0.36872654218236883,2.1245474330299077,5.4,56.0,66.0,1.2618632221247714
Lamptey,0.3912535760097397,1.9550201951443036,4.7,52.0,67.0,-0.43386905037340046
Hause,0.39589610317319057,1.8506587915691706,4.4,61.0,68.0,1.9652493550147518
Robinson,0.39571911554097167,1.849880045987407,4.4,,69.0,1.3569071563908615
Holgate,0.37833888087814177,1.9346258328774057,4.8,59.0,70.0,-0.9540066720446778
Stephens,0.37605492866243734,1.84351024298194,4.6,62.0,71.0,1.5572614331760648
Cooper,0.3848653211631692,1.7611660018449606,4.3,63.0,72.0,-0.5353077635547341
Ajayi,0.3545949161835944,1.8206548023435785,4.8,64.0,73.0,-1.1753829951932355
Mitchell,0.36903642421258503,1.535603908217221,3.9,79.0,74.0,-0.0006780676059009241
Davies,0.3384734126165907,1.6706352691710455,4.6,65.5,75.0,-0.7360502085371898
Doherty,0.2742283467818321,1.703938132192954,5.7,67.0,76.0,-1.4393381950115913
Ward,0.31576255673810516,1.4640241148171855,4.3,80.0,77.0,0.027374832245532665
Mendy,0.25418483141071263,1.6454686943873125,5.9,69.0,78.0,2.2701767728342737
Townsend,0.294719073700654,1.4054798618900093,4.4,70.5,79.0,0.5538179748072823
Clyne,0.2909579356283161,1.4204974646983526,4.5,68.0,80.0,-1.4728801363493171
Clark,0.28792627739867965,1.4068550026649882,4.5,70.5,81.0,-0.8755493943177111
Basham,0.27904403818171264,1.3972601467706065,4.6,74.0,82.0,0.5608195710027057
Azpilicueta,0.2444088042643463,1.507055042653052,5.6,75.0,83.0,0.025322382100084313
Ampadu,0.2755591810274661,1.2911495992614375,4.3,95.0,84.0,0.9971391902920833
Baldock,0.2528234340029686,1.3876580082047651,5.0,72.5,85.0,-0.34110146639958433
Dann,0.2638155076683338,1.2695041713478004,4.4,72.5,86.0,0.9309660395180572
Fuchs,0.25929037189373044,1.2779934278927172,4.5,78.0,87.0,0.5666286389775893
Maitland-Niles,0.2553852540583508,1.2884297398031421,4.6,88.0,88.0,-0.43206484750047486
Lewis,0.25371122868420926,1.197203404185433,4.3,76.5,89.0,-1.7553855016888822
Ake,0.22518821813778214,1.3494404831891396,5.4,76.5,90.0,1.7444472252017866
Pieters,0.23580741137415234,1.120216989752188,4.3,,91.0,0.4618293033973375
Veltman,0.23504472899518888,1.1169374555226455,4.3,81.0,92.0,1.1125270727557621
Egan,0.222272052703415,1.1608070356045772,4.7,97.5,93.0,0.9670914681532101
Coleman,0.2157764226544621,1.1543260334037433,4.8,82.0,94.0,-0.7665208313009348
Ivanovic,0.2213216735005736,1.1071342851235113,4.5,84.0,95.0,0.7302712064194481
Bailly,0.20797550714590315,1.1401500064410495,4.9,,96.0,-0.14147755079716307
Struijk,0.22830502748384462,0.9867514609751333,3.9,86.0,97.0,0.3141946448651231
Bartley,0.20811787205219168,1.0244345746367751,4.4,87.0,98.0,1.1498362387721766
Telles,0.18445402025562577,1.150392033414856,5.5,83.0,99.0,-0.023190095257061626
Van Aanholt,0.1852278591309496,1.1336545445522441,5.4,85.0,100.0,-0.0441712252848035
Stevens,0.17988029218324633,1.0229422991061539,5.0,89.5,101.0,0.41764808635887307
Manquillo,0.19133207957866155,0.9289730630315779,4.3,89.5,102.0,-1.1740099954670484
Tomkins,0.17555208057950178,0.9011711169786881,4.5,,103.0,0.2778566824702467
van Dijk,0.1419605139564227,1.0500126940447647,6.3,91.0,104.0,0.44709025625655385
Lascelles,0.17031663312360873,0.8191041631986912,4.2,92.5,105.0,-0.8534392465059293
Mari,0.16569389950208532,0.8377690954163071,4.4,92.5,106.0,-1.365869420941261
Schar,0.15567618069408254,0.8838833068271285,4.9,94.0,107.0,0.5459316511635917
Yedlin,0.15526240766994034,0.7738734738240767,4.3,,108.0,0.5665801633700809
Marcal,0.14059636950933055,0.793461778307112,4.8,96.0,109.0,-0.4809477700967447
Burn,0.14915174830818725,0.7302116469739213,4.2,100.0,110.0,0.20363087716662698
David Luiz,0.12845333312432242,0.8270721041164572,5.4,,111.0,0.43629559906586457
Fernandinho,0.12552062375201448,0.8112354735059942,5.4,97.5,112.0,-0.3810235143199564
El Mohamady,0.13995492749163355,0.7080513090573574,4.3,99.0,113.0,1.1024737609704742
Bogle,0.1397937486577425,0.7073582400716258,4.3,,114.0,-0.11815096755476398
Jack Robinson,0.11953437451838624,0.6202429312723938,4.3,101.0,115.0,0.2280858780372229
