Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Martinez,1.4796380451888032,5.998950793369017,5.0,1.0,1.0,-0.6652268233584452
McCarthy,1.2509211341928077,4.564044264085696,4.7,4.0,2.0,1.2155659407830457
Meslier,1.2270218277851166,4.357000129842537,4.6,2.0,4.0,-1.62886143942402
Pope,1.199530415038663,4.966285654027786,5.4,3.0,3.0,-1.6710945796745984
Fabianski,1.1405421786089558,4.389540889679177,5.1,6.0,5.0,0.6468888020520167
Lloris,1.0927415798965734,,,5.0,,-1.3180845023876104
Darlow,1.0878265564196727,4.039893349523368,5.0,8.0,6.0,-0.554342691511532
Leno,1.02189021506805,3.636007409909948,4.9,9.0,7.0,-2.2308768332232387
Johnstone,1.002731551057595,3.2529764904416796,4.5,7.0,10.0,1.288873027786101
Mendy,0.9690265855026051,3.5837292347355483,5.2,10.0,8.5,-0.10507549230545377
Ederson,0.9651243407274968,,,12.0,,0.7233393600105363
Schmeichel,0.9584911463482202,3.732537929082713,5.5,11.0,8.5,-1.0902533208772054
Areola,0.8980215608366285,,,14.0,,0.7603867803267492
Patricio,0.8903982133608709,3.358026797652293,5.5,13.0,11.0,-0.5343397243696942
Guaita,0.8523874445814028,2.8054438345253785,4.9,17.0,13.0,1.5741848114891435
Allison,0.8350982920846932,3.275977392861193,5.9,16.0,12.0,-1.5847338942581592
Pickford,0.8237984956584712,,,15.0,,0.16904370689896536
de Gea,0.7564689048607951,2.5260913972327166,5.3,19.0,14.0,2.5161233568583268
Ramsdale,0.7431683498354664,2.1776061776061946,4.7,18.0,15.0,0.39002283925415027
Ryan,0.6314886536090006,1.5120552985042048,4.3,20.0,16.0,0.17005230660696433
