Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Martinez,0.8374313422490886,5.433233026985435,5.1,1.0,1.0,0.5458285716546354
Pope,0.6859190339730559,4.934668505058706,5.4,2.0,2.0,-2.128621036220764
Leno,0.5943108771132286,4.111096720384851,5.0,3.0,3.0,-1.3691164907985496
Ederson,0.5083728401920583,4.417687842934799,6.0,8.0,4.0,1.4072001664150238
Lloris,0.5569155968362464,4.395014757279934,5.6,4.0,5.0,-1.0323704063653705
Schmeichel,0.4998873543457364,4.002877017202129,5.5,7.0,6.0,0.4688580080716906
Meslier,0.6352922847037674,4.057043532837293,4.7,9.0,7.0,-1.3330500137988897
Fabianski,0.5578687464675719,4.007463788499698,5.1,6.0,8.0,1.1246960364904237
McCarthy,0.6039997949204531,3.909968830855715,4.7,5.0,9.0,0.6891380959986133
Mendy,0.46451985502458176,3.5313844421404488,5.1,13.0,10.0,-0.20924357545314437
Areola,0.4737255504860487,3.1573530785240562,4.5,15.0,11.0,-0.27654040623930876
Guaita,0.420343735561245,3.1116105721199356,4.8,10.0,12.0,1.1099286791634269
Allison,0.363752529316262,3.4907998780520217,5.9,11.0,13.0,-0.2775473600013997
Darlow,0.45319874780386665,3.405536073838041,5.0,12.0,14.0,-0.2282053374757661
Johnstone,0.3902727120370387,2.7818153055035113,4.5,16.0,15.0,1.1316096979234405
de Gea,0.28316185689222073,2.7086727164366007,5.3,14.0,16.0,1.5626128988722616
Pickford,0.3211615589434811,2.6355361243546693,4.8,17.0,17.0,0.23222397567620426
Sanchez,0.2938843981637115,2.2958886065607937,4.4,20.0,18.0,-1.1898825142246798
Ramsdale,0.29076373220638324,2.3858921161825744,4.6,19.0,19.0,0.9107288729250376
Patricio,0.28941832800503753,2.3279705773595065,4.5,18.0,20.0,-0.813720743866031
Ryan,0.05053249935859702,1.1694520585538224,4.2,21.0,21.0,0.3594124919261236
