Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Bamford,0.8816507284100613,6.403843717867515,6.7,1.0,1.0,-2.3487549685162454
Calvert-Lewin,0.6643881108161365,5.612865637001558,7.6,3.0,2.0,-1.2558699783065013
Wilson,0.6910575674624725,5.203389980407007,6.8,2.0,3.0,-0.4748576784892892
Watkins,0.7071746732645374,4.922325542518325,6.3,5.0,4.0,3.3327891891304677
Kane,0.5377218378576111,6.730555472063742,11.0,4.0,5.0,-1.2734468701120236
Adams,0.5442911690507345,3.5869404607355437,5.8,9.0,6.0,-1.3975852777748188
Vardy,0.44812241643686634,5.222692578577773,10.0,6.0,7.0,-3.2495320884156187
Firmino,0.33959086410531075,3.8891344319464833,9.4,11.0,8.0,-0.97814407593133
Ings,0.39894510766206914,3.973972372297032,8.4,12.0,9.0,0.684173437240996
Lacazette,0.3375692254596582,3.4584149617967808,8.4,10.0,10.0,-2.23376387241148
Werner,0.3202478183348357,3.6284308697528687,9.2,19.0,11.0,0.4421378533890905
Maupay,0.45750574792286125,3.2430807949970104,6.1,8.0,12.0,-1.4956075656042078
Antonio,0.3726766376643246,2.993717309871078,6.7,7.0,13.0,0.4161421787361417
Decordova-Reid,0.42335269254030816,2.636747529994461,5.3,14.0,14.0,-0.3936896496033849
Jesus,0.2308073815569684,2.805578851396489,9.2,18.0,15.0,0.6260789112819536
Cavani,0.2889464214031132,2.8684367763097907,7.9,22.0,16.0,-1.6710977608295476
Martial,0.26512462647614327,2.9516617707043706,8.7,16.0,17.0,1.230007568885113
Wood,0.35707605614107973,2.6735819648843417,6.2,15.0,18.0,1.2258185729140338
McGoldrick,0.4129456942904045,2.5328811856988405,5.2,13.0,19.0,0.270436340154558
Rodrigo,0.35914437189292675,2.4697599158888743,5.7,20.0,20.0,0.17222697099333617
Richarlison,0.2806606824275071,2.7674986860176602,7.8,23.0,21.0,-1.022355732178317
Callum Robinson,0.36477398607356437,2.370172468470167,5.4,17.0,22.0,0.4606243903407203
Abraham,0.3146647203715976,2.7994432449060613,7.2,21.0,23.0,0.18600533899193747
Mitrovic,0.2790164122026422,1.9423978949295422,5.5,24.0,24.0,-0.7771234792497865
Ayew,0.258982892995006,1.8655265127291347,5.6,25.0,25.0,0.96920765804511
Grant,0.24879627912150748,1.8730700991460265,5.8,28.0,26.0,-0.34802647691175614
Wellbeck,0.2937889463710434,2.0236468328557486,5.5,26.0,27.0,0.5654940411927641
Benteke,0.23709549390057297,1.7118328442681614,5.5,27.0,28.0,-0.45090519840506754
Sharp,0.17645145704831866,1.3782906415807625,5.5,,29.0,1.3796519942441028
Barnes,0.22594270186946638,1.8005372597422638,6.0,29.0,30.0,0.1201425923764485
Batshuayi,0.15662720018060092,1.315412037128617,5.7,,31.0,0.13244987016832396
Joelinton,0.21211052725031226,1.631667001425972,5.7,31.0,32.0,-0.34544696744613096
Connolly,0.19440943665188223,1.3964926459785243,5.2,33.0,33.0,-0.10713040205440866
Fabio Silva,0.18900863662173958,1.3684084858217826,5.2,30.0,34.0,0.011522794707727164
McBurnie,0.16706927447451916,1.350810249014408,5.6,35.0,35.0,0.3425384441458591
Jimenez,0.1501619744371925,1.8393322900364475,8.2,32.0,36.0,0.27032409914936095
Giroud,0.14163729146453224,1.4457536903324688,6.7,34.0,37.0,0.5161108374815027
Nketiah,0.12143635273840687,1.0561492484603159,5.4,36.0,38.0,1.0978313324067241
