Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Bamford,0.9278385524509024,6.5564040230661025,6.6,1.0,1.0,-2.0898945655607393
Wilson,0.7639275713038489,5.391643190715315,6.5,2.0,3.5,-0.5476030268209807
Calvert-Lewin,0.6971665770464894,6.025508331005476,7.9,,3.5,-0.3345719297578673
Watkins,0.6889377676445636,4.602411961272733,6.1,3.5,6.0,3.1403700343501644
Kane,0.6270900697766569,7.6191067290268055,11.0,,2.0,-0.8341194660514513
Adams,0.5997272577875411,4.0582278511448955,6.1,5.0,7.0,-1.5842048661598218
Vardy,0.5969804753574175,6.757872012930433,10.2,3.5,5.0,-4.5454776156502374
Maupay,0.4954935180921784,3.422402039003183,6.1,7.5,9.0,-1.6804527241686427
Decordova-Reid,0.48886914483008936,,,,,0.6351813468497117
Ings,0.47343559729506307,4.473630228486634,8.3,7.5,8.0,0.15417223158637033
Wellbeck,0.4600126620340384,2.890627621929001,5.5,6.0,11.5,-0.12979452337912983
McGoldrick,0.45153968515055587,2.688897544575128,5.2,12.0,14.5,-0.113300166977001
Rodrigo,0.425595283049931,2.799562293426098,5.7,13.5,14.5,0.9654737575344446
Wood,0.41967163182806305,,,13.5,,1.4608156931005665
Abraham,0.41923563833717176,3.490499770816889,7.2,9.5,11.5,-0.23111245577554368
Firmino,0.39449270957833976,4.278452966514679,9.3,9.5,10.0,-0.051509407971779955
Werner,0.369883121119227,4.006039882083154,9.2,11.0,13.0,1.3164720915666133
Callum Robinson,0.3619621684320358,2.308598090624933,5.4,15.0,18.0,1.2188188453062807
Richarlison,0.3419181233266802,3.1782981346364627,7.8,,16.5,-1.70553672315413
Lacazette,0.3350383497562108,3.2848736392886875,8.2,16.0,16.5,-1.6571212383831033
Mitrovic,0.31487312920579574,,,,,-0.4438326550969399
Grant,0.3038901799837709,2.142787823597213,5.8,17.0,20.0,-1.3896226698978147
Joelinton,0.2943735811526501,2.0515985926115974,5.7,20.0,22.0,-0.8098595639400529
Haller,0.28947240170669897,2.165673229051758,6.1,18.5,21.0,0.38559789732314365
Martial,0.26532798189039203,2.8786906119834237,8.7,22.0,19.0,0.5517769225462419
Connolly,0.25655120142962284,1.6749574292262768,5.2,27.0,27.0,-0.3012067833711559
Benteke,0.24707671215909763,1.7194798976168273,5.5,26.0,27.0,-1.1670450761278337
Ayew,0.24670462745219918,1.7486594941239562,5.6,23.5,27.0,0.5432847014805283
Antonio,0.24224101717917657,1.90834148480164,6.2,23.5,27.0,-0.06398514458797656
Jimenez,0.23619838946640184,2.4743859649122544,8.2,18.5,23.0,0.8628885021813479
Cavani,0.23140335592069083,2.316282948869745,7.8,21.0,24.0,-3.5207393868368166
McBurnie,0.21689267644628565,1.5817125684908402,5.6,25.0,30.0,0.5122026167573784
Jesus,0.1757305902622568,2.1957079395229537,9.1,,27.0,0.9076595295196233
Nketiah,0.17316823766797299,1.3129832879156413,5.5,28.0,31.5,1.5316454791072798
Giroud,0.16338313401549162,1.5338921744437926,6.7,,31.5,0.6327914088699351
