Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Son,0.7524849750250078,7.747988055307839,9.7,1.0,1.0,-2.702938026872818
Fernandes,0.6117293973335873,7.435468675692987,11.3,3.0,2.0,-1.2574090109141594
Grealish,0.7975088732337114,6.4971487611421095,7.7,2.0,3.0,1.4902427637194697
Salah,0.5132023226019813,6.993487534541859,12.5,5.0,4.0,-0.984743160155425
Soucek,0.8100270030314048,4.538409520921694,5.3,4.0,5.0,0.6050234807864788
Ward-Prowse,0.7123206418530591,4.703303396489446,6.2,6.0,6.0,0.6054583130863861
Neto,0.7387959069708143,4.710435522793092,6.0,7.0,7.0,0.4096456621020428
DeBruyne,0.41411418183098764,5.432612171509789,11.8,12.0,8.0,-0.46133384464062976
Zaha,0.6332069428662322,4.960230448101479,7.3,8.0,9.0,-1.5827693694451463
Gundogan,0.6360094022857423,3.7525734534591035,5.5,26.0,10.0,2.9231356035340954
Harrison,0.6805412123603404,3.924816619617223,5.4,9.0,11.0,-0.8203285417565549
Tielemans,0.5836121058134756,4.031288230238995,6.4,20.0,12.0,-1.3386320358588228
Barnes,0.548415290307166,4.043905399186025,6.8,23.0,13.0,1.545106080283971
Sterling,0.413654041752175,5.243210229814385,11.4,16.0,14.0,0.7982613263017583
Rashford,0.4700447432899136,4.956685665132298,9.6,10.0,15.0,-4.17550797799236
Saka,0.6023488563413004,3.4377153434641397,5.3,22.0,16.0,1.278506716111274
Maddison,0.5106339208392361,3.954065267104285,7.1,21.0,17.0,0.20070126992252446
Klich,0.6564124407297204,3.8647901649009824,5.5,11.0,18.0,-0.02948758773292959
Bowen,0.5906073123729461,4.012369152966176,6.3,14.0,19.0,1.6636908918231106
Foden,0.49565037358156544,3.4141404385804766,6.3,18.0,20.0,-1.1403740321019695
Lookman,0.6299365098781595,3.3810659501976357,5.0,15.0,21.0,-0.4709606509982867
Traore,0.5396682809081202,3.457075270309978,5.9,27.0,22.0,0.3409669343417694
Pereira,0.5121101573209963,3.1269662899012367,5.6,72.0,23.0,-2.834441953061823
Fornals,0.5422845325815407,3.5902233977317404,6.1,24.0,24.0,-1.71856836497886
Mount,0.4985867779501155,3.705071515158083,6.8,30.0,25.0,-1.6413538242239893
Mane,0.3554435463669855,4.7804706956874,11.9,17.0,26.0,-0.6145902148606048
Aubameyang,0.310399630846109,4.0304423143844845,11.3,59.0,27.0,0.8705841372539903
McGinn,0.5717738901355781,3.399278136633201,5.5,13.0,28.0,-0.604516896157005
Pogba,0.3775152608595605,3.263197945861146,7.7,53.0,29.0,-2.156255445103787
Raphinha,0.5070903719886688,3.0435187868251994,5.5,25.0,30.0,-2.5444700087928442
March,0.5831318959221798,3.1470428804177364,5.0,19.0,31.0,-0.7700327403047589
Ndombele,0.46442480491595095,3.0131387619561787,5.9,46.0,32.0,-2.232144522227724
Westwood,0.5045746867552405,2.919512244658022,5.3,28.0,33.0,-0.802420137323298
Trossard,0.4388919050203041,2.7654609355355277,5.7,38.0,34.0,0.8530223439961184
Rodrigo,0.46729673799579013,2.773296458048651,5.4,70.0,35.0,0.154466810135747
Armstrong,0.4844406040578715,2.918945063205814,5.5,31.0,36.0,1.8422287921198672
El Ghazi,0.44474194461992533,2.8479080237314984,5.8,29.0,37.0,-2.055982394104897
Rice,0.48769708930427075,2.5630740934350635,4.8,32.0,38.0,0.30954706665214493
Anguissa,0.4905948231351983,2.4159217648345463,4.5,51.0,39.0,-0.5318354949672652
Neves,0.4101174404263011,2.3732494270558764,5.2,52.0,40.0,-0.08602692426222067
Townsend,0.4295395334682003,2.6645707963255796,5.6,41.0,41.0,0.3546344138223611
Sigurdsson,0.39528487443347754,3.0026185712449456,6.8,39.0,42.0,1.3852188314618625
Eze,0.42714442305263883,2.745842398641237,5.8,43.0,43.0,1.6039217690897767
Walcott,0.4172332642443186,2.6883576775529803,5.8,45.0,44.0,-1.4555508946406142
Wijnaldum,0.44784156652938584,2.6188267074609923,5.3,42.0,45.0,0.24575654704485528
Doucoure,0.455491576425376,2.6593717599097406,5.3,36.0,46.0,-1.2258900798522
Iwobi,0.3736399341704656,2.477508024557815,5.9,56.0,47.0,-1.3009225824172401
Rodriguez,0.36035580902631364,3.1310701667451455,7.7,47.0,48.0,3.2773443854988904
Kouyate,0.4380354344600772,2.4215605731072234,5.0,37.0,49.0,0.7787629392184184
Mahrez,0.3485316051987771,3.1979471114171707,8.1,65.0,50.0,3.4805957527945504
Cavaleiro,0.37305919402180393,2.2224801331708077,5.3,58.0,51.0,-1.7014662967700678
Jorginho,0.459497183246525,2.377137158017094,4.7,40.0,52.0,0.9295482454181354
Hendrick,0.46852525926003447,2.3680889213384484,4.6,34.0,53.0,-1.5174373243637338
McArthur,0.3777796347501303,2.2050928375397887,5.2,64.0,54.0,0.620642544178408
Hojbjerg,0.4105690589773768,2.238544121779847,4.9,62.0,55.0,-0.8029159054403732
Podence,0.44093199905718267,2.630926867780171,5.4,33.0,56.0,1.3849139402052697
Oriol Romeu,0.4613623470994841,2.284375622673832,4.5,35.0,57.0,1.7947888139210333
Henderson,0.39724298285103077,2.3950061802669507,5.4,49.0,58.0,0.22653097992314253
Brownhill,0.39866740471546136,2.1802260158964613,4.9,61.0,59.0,-0.26663441587127046
McTominay,0.4158030577706425,2.264190715866849,4.9,48.0,60.0,2.2612936439967655
Douglas Luiz,0.4004969677777709,2.189190874901778,4.9,60.0,61.0,0.3598944433763257
Brady,0.354157750603782,2.002172153825747,5.0,68.0,62.0,1.2982367514468443
Fabinho,0.36524692859989727,2.2222274873108296,5.4,55.0,63.0,-0.20972337048896925
Jota,0.35901124824940456,2.6749003275110956,6.6,44.0,64.0,2.117100998454507
Schlupp,0.35364586367502615,2.1595817367165253,5.4,63.0,65.0,0.9799951454491425
Gallagher,0.367264004328774,2.274473764695778,5.5,50.0,66.0,2.3754003614906463
Gross,0.350069181724475,2.2988059989378864,5.8,66.0,67.0,0.9420190914526877
Smith Rowe,0.301551527781687,1.5652269357437452,4.5,96.0,68.0,0.000557380434612979
Ndidi,0.31929152008884026,1.7547273612009968,4.8,,69.0,1.1690815703526642
McNeil,0.3416830334517739,2.2113703675949057,5.7,67.0,70.0,-0.6386109644115675
Barkley,0.32925948734618715,2.215663388294572,5.9,74.0,71.0,-0.5083232093854466
Kante,0.35975989420741117,1.9895792144070155,4.9,57.0,72.0,0.4925967640264561
Xhaka,0.2907636340026043,1.7526096336526533,5.2,86.0,73.0,0.11493443351110935
Phillips,0.3442120008503203,1.91339453695727,4.9,54.0,74.0,-0.9495649037018261
Bernardo Silva,0.21838613504159837,1.958504832501947,7.4,105.0,75.0,0.6261903025888466
Bissouma,0.34568844656913117,1.7638430702872443,4.5,69.0,76.0,-0.7089728928295086
Almiron,0.29198938694027843,1.8942899757692166,5.6,79.0,77.0,0.4106285115644636
Sissoko,0.3222834467836311,1.769088609335993,4.8,73.0,78.0,-0.25607917190834995
Albrighton,0.2548270331398928,1.5958496804966795,5.3,101.0,79.0,-0.36656905754730806
Fleck,0.250719800333255,1.663180290769886,5.6,103.0,80.0,1.0378695906330768
Costa,0.318267716342269,1.859176422168546,5.1,71.0,81.0,0.5505493449243363
Ceballos,0.2986661899617779,1.6212314895787834,4.7,76.0,82.0,0.7147486308988751
Torres,0.24674497602150147,2.0218494276617958,6.9,87.0,83.0,0.7819315447816357
Reed,0.29035760538809474,1.481190856417634,4.4,90.0,84.0,0.5783204481263815
Willian,0.2385282156655371,2.1360367187017846,7.5,82.0,85.0,-1.2602797634683998
Sawyers,0.2854737776150752,1.592402197326925,4.8,91.0,86.0,0.03564334440131143
Ziyech,0.21492277548119343,2.115715590704743,8.1,80.0,87.0,-0.12564249323774968
Pulisic,0.19512455060464323,1.9794900922812877,8.2,97.0,88.0,0.9374721260176482
Havertz,0.2035349427839649,2.048455308151725,8.2,85.0,89.0,0.7841658488435419
Dendoncker,0.30300741595806946,1.6416352517613537,4.7,81.0,90.0,0.1295998790078689
Bergwijn,0.18043570933324088,1.5869867264622588,7.0,111.0,91.0,0.46478891042154186
Mendy,0.31245468028299406,1.5784179859551908,4.4,75.0,92.0,-0.6545348958552417
Diangana,0.2816984268431254,1.6726730457229138,5.1,77.0,93.0,-0.5358615499294477
Loftus-Cheek,0.24374776244831028,1.7111442113970992,5.9,88.0,94.0,0.6731107780440851
Benrahma,0.2189872313384527,1.591583468998921,6.0,,95.0,0.8690674731108162
Praet,0.27600141409106094,1.675846090112628,5.2,78.0,96.0,0.3425819426665842
Hudson-Odoi,0.20150446575435296,1.4123525317196066,5.7,99.0,97.0,-0.07963156396930991
Riedewald,0.264801719935067,1.3687449604243118,4.4,94.0,98.0,-0.5150978785701696
Djenepo,0.24156907715111403,1.5543670894874002,5.4,92.0,99.0,1.4767430631825385
Fred,0.2344445984986018,1.4878227768978372,5.3,100.0,100.0,0.3305030119275488
Saint-Maximin,0.26245654001002,1.5745394228740761,5.1,84.0,101.0,1.2111104659582486
Cairney,0.2609416156703734,1.5975351383250527,5.2,83.0,102.0,1.058614068531643
Kovacic,0.22833040018630138,1.4554175258426452,5.3,102.0,103.0,0.10405200332571267
Murphy,0.23755541766516947,1.3907772793500313,4.9,93.0,104.0,-0.5229773024972457
Moutinho,0.20863884619309184,1.3255607370431888,5.2,109.0,105.0,-0.46905785881292583
Trezeguet,0.24504251186205842,1.5148597985218148,5.2,89.0,106.0,0.25671718025137075
Adama,0.1742826410415615,1.3454118593378668,6.1,114.0,107.0,-0.6051578800956857
Greenwood,0.16859418045319113,1.5040960243019106,7.0,110.0,108.0,-0.30387102907304336
Matt Phillips,0.2015646160289174,1.2639906105704526,5.1,106.0,109.0,-0.2666905949292259
Mac Allister,0.17483841012409107,1.1719099785129303,5.3,,110.0,-1.310589542508851
Elneny,0.22793940377641528,1.206550769326244,4.4,98.0,111.0,-0.3943819190253696
Matic,0.20541803671818953,1.2081346410218736,4.8,,112.0,-0.27548137533983474
Hourihane,0.20594515795098228,1.4881088448628643,5.9,95.0,113.0,-1.2498623977208645
Milivojevic,0.14921971019182745,1.0947797859778914,5.6,,114.0,0.3037456793921243
Milner,0.1796866009024752,1.1976053896383665,5.3,104.0,115.0,0.47390065428462724
Lallana,0.17722450642698392,1.3857073568477787,6.2,107.0,116.0,0.07343680959494506
Sean Longstaff,0.18650042402523817,1.0940523896770467,4.7,108.0,117.0,0.4379709866464231
Perez,0.14941960374659655,1.174177703447784,6.0,115.0,118.0,-0.7069326160645599
Allan,0.18309550162591898,1.1927353452938896,5.2,112.0,119.0,-0.3122683284750414
Jones,0.17622098745250847,0.9789897375010543,4.4,,120.0,0.3184394458089319
Lucas Moura,0.13168131558307436,1.1923185714877607,6.7,116.0,121.0,0.9801530753479494
Berge,0.17136833005688337,1.0664605500694293,4.9,113.0,122.0,-0.48981739135321145
Pepe,0.12137513902773206,1.2741538258371565,7.6,117.0,123.0,0.27526700717718006
