Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Son,0.716981546276563,7.441004373716962,9.7,1.0,1.0,-3.1070908892048688
Grealish,0.8056042763868969,6.589171689645509,7.7,3.0,2.0,1.2389275085822655
Soucek,0.9124737200073272,5.101811941463761,5.3,5.0,3.0,-0.5566730976507336
Gundogan,0.7365958647269221,4.405677759900874,5.6,10.0,4.0,1.5215913806499952
Fernandes,0.5799091135127613,7.119468048222822,11.3,2.0,5.0,-1.725467107034918
Saka,0.686659732367332,3.904997806971785,5.3,16.0,6.0,0.3330806748070877
Tielemans,0.620118651279533,4.289606130966282,6.4,12.0,7.0,-1.83979668201341
Ward-Prowse,0.7129810317871145,4.654991364673482,6.1,6.0,8.0,0.6841550803084909
Salah,0.4863526027398034,6.706061367796898,12.5,4.0,9.0,-0.42598752350594915
Zaha,0.6404858407246851,4.972450661342161,7.2,9.0,10.0,-1.2718815848038805
Neto,0.7072181138751079,4.468367481298432,5.9,7.0,11.0,0.7082775753603765
Harrison,0.6949823952574132,4.023619390483354,5.4,11.0,12.0,-1.0817205394951126
Sterling,0.4381226091308713,5.614931531870426,11.5,14.0,13.0,-0.020685192704423462
Raphinha,0.6238781056698802,3.6396562267106756,5.4,30.0,14.0,-3.5674829360020275
Barnes,0.5513840989882522,4.090311558570964,6.8,13.0,15.0,1.305795875856064
Bowen,0.5901882913268913,4.0340197674682905,6.3,19.0,16.0,1.500205756536061
Mane,0.39385250608849576,5.239020790714841,11.8,26.0,17.0,-1.6566818248084323
DeBruyne,0.38958995261423357,5.232694885648365,11.9,8.0,18.0,0.11153530155119276
Maddison,0.4928283867408959,3.909316992658879,7.2,17.0,19.0,0.36050790876155314
Lookman,0.6173047309846444,3.3371851883429637,5.0,21.0,20.0,-0.3556344391272468
Pereira,0.5087370365762858,3.129668322257312,5.6,23.0,21.0,-2.818158146585679
Traore,0.5281831569605728,3.412061235502676,5.9,22.0,22.0,0.5283752888539656
Rashford,0.44975948369158963,4.798961187605165,9.6,15.0,23.0,-4.294636665868826
Klich,0.6251239129889982,3.646383586233912,5.4,18.0,24.0,0.21767107123678298
Foden,0.47365244358205577,3.2998439266758273,6.3,20.0,25.0,-0.8361279189385478
Armstrong,0.5331203502457174,3.207889613113162,5.5,36.0,26.0,2.292220741664776
Fornals,0.5260238921656952,3.514552812982826,6.1,24.0,27.0,-1.4884510820774544
Mount,0.47380887775534025,3.5628000541871634,6.8,25.0,28.0,-1.8264588009643392
March,0.5755048020039936,3.12818554343971,5.0,31.0,29.0,-0.7436777368652601
McGinn,0.5572270044900406,3.3404762114569397,5.5,28.0,30.0,-0.43155680002754837
Westwood,0.5220807253559733,3.0327290698115856,5.3,33.0,31.0,-0.4643438541934265
Pogba,0.36629209779744015,3.2064679145066926,7.7,29.0,32.0,-2.104150410537256
Ndombele,0.4596893744722139,3.0079479188213587,5.9,32.0,33.0,-2.2028549406917226
Trossard,0.44153960022847083,2.802529869400789,5.7,34.0,34.0,0.858758885417921
Mahrez,0.40473574369184995,3.6844312080439665,8.1,50.0,35.0,2.402614301273729
Aubameyang,0.288273536029932,3.823986022666848,11.3,27.0,36.0,1.1108561445662264
McNeil,0.4360894827954464,2.77146420003255,5.7,70.0,37.0,0.5386089208598236
Rodrigo,0.4707434143783567,2.8127288937364483,5.4,35.0,38.0,0.16740110861594637
Rodriguez,0.3866028129672003,3.362860421313845,7.7,48.0,39.0,3.543276799061981
Neves,0.4101679379799662,2.3935612722523567,5.2,40.0,40.0,-0.10950536948042908
Hojbjerg,0.4543996948974696,2.472206807748949,4.9,55.0,41.0,-0.2744532942675488
Anguissa,0.48895497852698544,2.4258927834492026,4.5,39.0,42.0,-0.49142255565901927
Rice,0.4816136075353781,2.5523803882527676,4.8,38.0,43.0,0.3177413547444659
Eze,0.42261750641604995,2.741948915979991,5.8,43.0,44.0,1.4738104702870485
Wijnaldum,0.43981831440434077,2.5967382917679327,5.3,45.0,45.0,0.2879463056389
Douglas Luiz,0.4329838353901296,2.3672690961629823,4.9,61.0,46.0,0.05009276741845903
Townsend,0.42059431623742183,2.6360690883596734,5.6,41.0,47.0,0.24519274681069386
Walcott,0.41063097761623335,2.6724270489410547,5.8,44.0,48.0,-1.4759642961926576
Jorginho,0.4618993587444116,2.4065488275132925,4.7,52.0,49.0,0.8965717815527594
Cavaleiro,0.3781849918013095,2.2700816819718663,5.3,51.0,50.0,-1.5766798884910154
Kouyate,0.43157106003793755,2.4085168336094305,5.0,49.0,51.0,0.7138349545916776
Sigurdsson,0.37274658083576134,2.8755764351340263,6.8,42.0,52.0,1.067002923237742
Hendrick,0.4599243462514907,2.3462606035030196,4.6,53.0,53.0,-1.5331652407846381
El Ghazi,0.41980347162005877,2.7256275141632416,5.8,37.0,54.0,-1.7228623132029242
McArthur,0.37233358170875985,2.196822619642083,5.2,54.0,55.0,0.5526639191028141
Podence,0.439997663555388,2.5976888422684836,5.3,56.0,56.0,1.3558384825832177
Doucoure,0.4259515180695994,2.4756358887184495,5.2,46.0,57.0,-1.3790050031943388
Iwobi,0.35063270469183555,2.364513567117126,5.9,47.0,58.0,-1.4255152625579932
Almiron,0.35155129711112487,2.2494281812524104,5.6,77.0,59.0,1.0783669586806002
Henderson,0.38749463483129465,2.3631854841823126,5.4,58.0,60.0,0.2650089734019615
Brownhill,0.38497299593588263,2.132015982837172,4.9,59.0,61.0,-0.3245962563445025
McTominay,0.3892362080322951,2.1529057221095935,4.9,60.0,62.0,1.9663105836030426
Gross,0.35723390610302297,2.362724034164434,5.8,67.0,63.0,0.9167960825162262
Smith Rowe,0.3009389345076092,1.5798205853620093,4.5,68.0,64.0,0.007337094961997817
Oriol Romeu,0.43177683340952094,2.1685911304206122,4.5,57.0,65.0,1.5220034078705613
Barkley,0.3340848996724846,2.266881517502955,5.9,71.0,66.0,-0.4352799577744854
Xhaka,0.3153175170242304,1.9003390832825298,5.2,73.0,67.0,-0.2068660295262526
Ndidi,0.3072437967181304,1.7154052963299782,4.8,69.0,68.0,1.1649506258853057
Brady,0.34681257545993,1.984724410719392,5.0,62.0,69.0,1.1408888150928873
Jota,0.33854008200550223,2.565237765350375,6.6,64.0,70.0,2.2226643796008494
Fabinho,0.33860206450620955,2.099165604426853,5.4,63.0,71.0,-0.017878898059681687
Schlupp,0.3312163108505117,2.059282534686085,5.4,65.0,72.0,0.7670813941974695
Fleck,0.2693573221575344,1.7891419215123034,5.6,80.0,73.0,0.7024184093525636
Bernardo Silva,0.2313678285373091,2.0831010006373054,7.4,75.0,74.0,0.3348334610529735
Gallagher,0.34012747362238366,2.1464287916848264,5.5,66.0,75.0,2.0712890734947287
Albrighton,0.2513221728783895,1.5977087416803906,5.3,79.0,76.0,-0.31202234530603834
Phillips,0.33283050334733844,1.8765177691533055,4.9,74.0,77.0,-0.8741770916384703
Dendoncker,0.3139815952782494,1.7113353392223303,4.7,90.0,78.0,0.021121370268912927
Bissouma,0.33897731795376257,1.7509933108696991,4.5,76.0,79.0,-0.6635364741865195
Kante,0.33628118430140946,1.893426105828254,4.9,72.0,80.0,0.3251097903866398
Sawyers,0.29300668145137737,1.6470671430495634,4.8,86.0,81.0,0.09083602123866834
Bergwijn,0.19655243224392138,1.7267931724950887,7.0,91.0,82.0,0.6789158359257642
Ziyech,0.2192513112962029,2.1820073056392255,8.1,87.0,83.0,-0.09692670736133449
Havertz,0.21069318314533553,2.1387690166001287,8.2,89.0,84.0,0.8192810222920833
Reed,0.2842835879673353,1.4714299364656482,4.4,84.0,85.0,0.5478315007376203
Sissoko,0.30263487423695595,1.693282468420341,4.8,78.0,86.0,-0.33562701300975467
Loftus-Cheek,0.250178449938308,1.7718334640713134,5.9,94.0,87.0,0.6034986419838579
