Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Kane,1,EVE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,7,8,22.5,21,5.2,0,"894,557",£10.5
Kane,2,SOU (A) 2 - 5,21,83,1,4,0,1,0,0,0,0,0,0,3,81,108.4,40.8,35,18.4,"-140,554","829,125",£10.5
Kane,3,NEW (H) 1 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,7,29.8,23.5,138,19.1,"266,301","1,243,962",£10.5
Kane,4,MUN (A) 1 - 6,16,90,2,1,0,1,0,0,0,0,0,0,3,64,88.8,32.2,75,19.6,"-37,357","1,208,153",£10.5
Calvert-Lewin,1,TOT (A) 0 - 1,8,88,1,0,1,0,0,0,0,0,0,0,2,34,38.4,13.7,34,8.6,0,"387,691",£7.0
Calvert-Lewin,2,WBA (H) 5 - 2,17,70,3,0,0,2,0,0,0,0,0,0,3,74,99.6,0.4,144,24.4,"331,148","875,767",£7.1
Calvert-Lewin,3,CRY (A) 1 - 2,6,90,1,0,0,1,0,0,0,0,0,0,0,21,36.2,6.2,45,8.7,"868,743","1,922,282",£7.3
Calvert-Lewin,4,BHA (H) 4 - 2,6,90,1,0,0,2,0,0,0,0,0,0,0,28,41.8,2.3,49,9.3,"940,107","2,963,753",£7.5
Vardy,1,WBA (A) 0 - 3,13,90,2,0,1,0,0,0,0,0,0,0,3,52,71.2,10.3,36,11.8,0,"1,036,141",£10.0
Vardy,2,BUR (H) 4 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,6,2.6,11.2,22,3.6,"226,309","1,582,960",£10.1
Vardy,3,MCI (A) 2 - 5,17,84,3,0,0,2,0,0,0,0,0,0,3,82,105.2,0.5,71,17.7,"-247,620","1,345,440",£10.0
Vardy,4,WHU (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,-2,2.6,1.4,14,1.8,"296,313","1,743,133",£10.1
