Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Son,1,EVE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,14,46.8,35,9.6,0,"1,724,987",£9.0
Son,2,SOU (A) 2 - 5,24,90,4,0,0,2,0,0,0,0,0,0,2,80,139.6,22,86,24.8,"-424,230","1,378,891",£8.9
Son,3,NEW (H) 1 - 1,1,45,0,0,0,0,0,0,0,0,0,0,0,8,4,40.3,8,5.2,"784,722","2,405,919",£9.1
Son,4,MUN (A) 1 - 6,18,72,2,1,0,1,0,0,0,0,0,0,3,64,91.4,62.2,52,20.6,"-1,308,054","1,011,225",£9.0
Salah,1,LEE (H) 4 - 3,20,90,3,0,0,3,0,0,0,0,0,0,3,69,117.2,50.1,161,32.8,0,"1,883,241",£12.0
Salah,2,CHE (A) 0 - 2,3,90,0,0,1,0,0,0,0,0,0,0,0,14,15.4,61.5,51,12.8,"156,301","2,378,499",£12.0
Salah,3,ARS (H) 3 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,18,7,27.3,44,7.8,"95,854","2,576,134",£12.1
Salah,4,AVL (A) 7 - 2,13,90,2,0,0,7,0,0,0,0,0,0,1,54,78.2,41.8,44,16.4,"279,768","2,941,545",£12.2
Grealish,2,SHU (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,10,7,40.6,49,9.7,491,"688,315",£7.0
Grealish,3,FUL (A) 0 - 3,8,90,1,0,1,0,0,0,0,0,0,0,0,29,45.4,25,61,13.1,"-48,718","658,262",£7.0
Grealish,4,LIV (H) 7 - 2,24,90,2,3,0,2,0,0,0,0,0,0,3,90,131.4,54.7,60,24.6,"-8,464","665,271",£7.0
Rodriguez,1,TOT (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,16,17,58.6,23,9.9,0,"471,986",£7.5
Rodriguez,2,WBA (H) 5 - 2,12,77,1,1,0,2,0,0,0,0,0,0,2,42,57,39.7,9,10.6,"277,021","914,403",£7.5
Rodriguez,3,CRY (A) 1 - 2,2,85,0,0,0,1,0,0,0,0,0,0,0,16,14.4,41.7,25,8.1,"682,098","1,747,659",£7.6
Rodriguez,4,BHA (H) 4 - 2,18,77,2,1,0,1,0,0,0,0,0,0,3,67,92.2,29.3,53,17.5,"345,974","2,138,184",£7.7
Jorginho,1,BHA (A) 1 - 3,12,84,1,1,0,1,0,0,0,0,0,0,2,43,60.8,23.2,17,10.1,0,"104,796",£5.0
Jorginho,2,LIV (H) 0 - 2,0,78,0,0,0,2,0,0,1,0,0,0,0,0,14.4,1.6,19,3.5,"137,736","342,805",£5.0
Jorginho,3,WBA (A) 3 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88001,"453,345",£5.1
Jorginho,4,CRY (H) 4 - 0,15,90,2,0,1,0,0,0,0,0,0,0,2,49,79.2,31.3,40,15.1,"-44,619","412,226",£5.1
Bowen,1,NEW (H) 0 - 2,2,88,0,0,0,2,0,0,0,0,0,0,0,5,1.8,2.6,12,1.6,0,"94,805",£6.5
Bowen,2,ARS (A) 2 - 1,2,82,0,0,0,1,0,0,0,0,0,0,0,6,4.8,6.9,34,4.6,"-30,148","66,218",£6.4
Bowen,3,WOL (H) 4 - 0,15,87,2,0,1,0,0,0,0,0,0,0,2,44,68.6,1,45,11.5,"-21,471","46,385",£6.3
Bowen,4,LEI (A) 0 - 3,8,87,1,0,1,0,0,0,0,0,0,0,0,32,45.2,21.8,45,11.2,"24,899","82,921",£6.3
